Synonym	Mesh_UI
Ringorm	D014005
Rinit	D012220
Rinnande bröst	D005687
Rinorragi	D004844
Rinosporidios	D012227
Ris	D012275
Riskanalys	D018570
Riskvärdering	D018570
Risperdal	D018967
RIST	D011864
Ritalin	D008774
Ritters syndrom	D013206
RLS	D012148
RNA-databaser	D030561
RNA-datorer	D039301
RNA-sekvens	D001483
Ro 11-1163	D020912
Robaxin	D008721
Rocaltrol	D002117
Rocky Mountain-fläckfeber	D012373
Roferon	D015380
Rogaine	D008914
Rohypnol	D005445
Rollatorer	D014853
Romansk filologi	D010683
Rombencefalon	D012249
Ros	D027826
Rosacea	D012393
Rosenrot	D029771
Rosmarin	D027542
Rosväxter	D027824
Rot cysta	D011842
Rotstock	D027343
Rouget-celler	D020286
Rovfåglar	D046093
R-plasmider	D011815
RS-virus	D012136
RS-virus, bovint	D018112
RS-virus, humant	D018113
RT-PCR	D020133
Ruanda	D012432
Rubella	D012409
Rubellavaccin	D012411
Rubomycin	D003630
Rugby	D005538
Ruptur	D012421
Russin	D027843
Rutintester, diagnostiska	D003955
Ryggmärgens bakhornceller	D020671
Ryggmärgens bakhornneroner	D020671
Ryggmärgscancer	D013120
Ryggmärgsganglier	D005727
Ryggmärgshinnebråck	D008588
Ryggmärgshinnor	D008578
Ryggmärgsvätska	D002555
Ryggont	D001416
Ryggradsartrit	D025241
Ryggradscancer	D013125
Ryggsjukdomar	D013122
Ryggskott	D017116
Ryggvärk	D001416
Rymden	D005118
Rymdmedicin	D000337
Rymdmodeller	D018561
Rymdperception	D013028
Rytmonorm	D011405
Råd	D017408
Rådjur	D003670
Råg	D012434
Räddningstjänst	D018635
Rädisa	D031224
Rädsla	D005239
Rättssäkerhet	D002961
Rödklöver	D029921
Rödlo	D046008
Rödspätta	D005432
Rönn	D031994
Röntgenbehandling	D011878
Röntgenbehandling, understödjande	D018714
Röntgenbildarkiv	D011873
Röntgenfilmarkiv	D011873
Röntgengenomlysning	D005471
Röntgenkliniker	D011872
Röntgenologi	D011871
Rörelseapparaten och bindväv	D009141
Rörelseapparatens och bindvävens sjukdomar	D009140
Rörelseförmåga	D009068
Rörelsehindrade	D006233
Rörelsehindrade barn	D019988
Rörelselära, tillämpad	D018953
Rörelseorgan	D009141
Rörelseperception	D009039
Rörelseterapi	D005081
Rörmokeri	D012498
Rörsocker	D013395
Sabal	D028024
Saccharomyces cerevisiae	D012441
Sacculus et utriculus	D012444
Saccus endolymphaticus	D004712
Saethre-Chotzens syndrom	D000168
Safflor	D031178
Saffran	D027622
Saizen	D019382
Sakrum	D012447
SAL	D045169
Salamandrer	D012455
Salazopyrin	D012460
Salbutamol	D000420
Salicylazosulfapyridin	D012460
Salivkörtlar	D012469
Salivkörtlar, mindre	D012470
Sallatsspikblad	D028041
Salpingit	D012488
Saltfattig kost	D004039
Salvadora	D032121
Sambor	D018454
Samhällsplanering	D012939
Samhällsstöd	D012944
Samköp	D017754
Samlagssmärta	D004414
Sammanboende	D008393
Sammanvuxna tvillingar	D014428
Sammanväxtningar	D000267
Samsjuklighet	D015897
Samspelssvårigheter hos barn	D002653
Samtal	D007406
Samtalsterapi	D011613
Samverkan	D003299
Sanatoria	D006294
Sandelträ	D032123
Sandelträdsväxter	D029630
Sandimmun	D016572
Sandmusslor	D049892
Sandmyggefeber	D010217
Sandostatin	D015282
Sandräka	D033501
Sanfilippos syndrom	D009084
Sanitära installationer	D012498
SAPHO-syndrom	D020083
Saponaria officinalis	D029750
Sarkodina	D012506
Sarkodinainfektioner	D016775
Sarkosporidios	D012523
Saroten	D000639
SARS	D045169
Satellit-RNA	D019244
Satellitsjukhus	D006781
Sauna	D001495
Saururus	D032134
Saxifraga	D031995
Scala tymapni	D012533
SCD	D016757
Schanker, hård	D002601
Scheies syndrom	D008059
Schema för läkemedelstillförsel	D004334
Schemaläggning	D010561
Schilders sjukdom	D002549
Schimpans	D002679
Schistosomiasis	D012552
Schistosomicider	D012556
Schizofreni, paranoisk	D012563
Schoenlein-Henochs purpura	D011695
SCID	D016511
Scintigrafi	D011877
Screening	D008403
Scrofula	D018601
Sebaceus adenokarcinom	D018266
Seborroisk dermatit	D012628
Seborroisk keratos	D017492
Sebum	D012629
Second opinion	D012017
Sedativa, barbiturat	D018731
Sedativa, icke-barbiturat	D012638
Segmentationsfas, ägg	D002970
Seitelbergers sjukdom	D019150
Sekonal	D012631
Sekretionsgrad	D012636
Sekretoriska vesiklar	D022142
Sekundär primär cancer	D016609
Sekundär progressiv multipel skleros	D020528
Sekundära primära tumörer	D016609
Sekvensanalys, DNA	D017422
Sekvensanalys, RNA	D017423
Sekvensbestämning	D017421
Sekvensdatabaser	D030562
Sekvenslinjering	D016415
Selektiv abort	D018607
Selektiva estrogenreceptormodulerare	D020847
Selektiva östrogenreceptormodulerare	D020847
Selenomonas ruminantium	D020357
Sella turcica	D012658
Seloken	D008790
Semecarpus anacardium	D031023
Semen	D012661
Semester	D006693
Semilunarben	D012667
Sen sjukdomsdebut	D017668
Senap	D009149
Sendoxan	D003520
Senescens	D000375
Senförflyttning	D013709
Seninflammation	D052256
Sensation	D012677
Sensibilisering, immunologisk	D007114
Sensoriska ganglier	D017950
Sensoriska receptorer	D011984
Seponeringssyndrom	D013375
Sepsissyndrom	D018746
Septikemi	D012687
Septikemi	D018805
Septisk chock	D012772
Serenase	D006220
Serinproteinaser	D012697
Serinproteinasinhibitorer	D015842
SERM	D020845
SERM	D020847
Sermion	D009530
Serodiagnos	D012698
Serodiagnostik, AIDS	D015492
Serodiagnostik, HIV	D015492
Seroprevalens	D016036
Serosa	D012704
Serotoninagonister	D017366
Serotoninantagonister	D012702
Serotoninergt syndrom	D020230
Serotoninreceptor, 5-HT1A	D044282
Seroxat	D017374
Serumalbumin, bovint	D012710
Serumalbumin, radiojod	D012711
Servicehus	D012112
Servicehus för äldre	D016852
Sesam	D031685
Sesamväxter	D029601
Sexualhormonbindande globulin	D012738
Sexualundervisning	D012736
Sexuell sterilisering	D013245
Sexuellt överförda sjukdomar	D012749
Sexuellt överförda sjukdomar, bakteriella	D015231
Sexuellt överförda sjukdomar, virala	D015229
Sfenoidsinuit	D015524
Sfäroider	D018874
SGA	D007236
SGOT	D001219
SGPT	D000410
SHBG	D012738
Shiatsu	D019050
Shigellatoxin	D022621
Shy-Magees syndrom	D020512
SIADH-syndrom	D007177
Sialadenit	D012793
Sialism	D012798
Sialorre	D012798
Siamesiska tvillingar	D014428
Sideroblastisk anemi	D000756
Sideropenanemi	D018798
SIDS	D013398
sIgA	D007071
Sigmoidcancer	D012811
Sigmoideum	D012809
Signalsubstanser och signalsubstansmedel	D018371
Signalsubstansmedel	D018377
Signaltransduktion	D015398
Signalöverföring	D015398
Sileshår	D029787
Silikos	D012829
Silkesapor	D012452
Silkesmaskar	D012831
Silogasförgiftning	D012832
Silybum marianum	D020944
Simaba	D029641
Sinapis alba	D031226
Singelsträngat DNA	D004277
Sinnesförnimmelse	D012677
Sinuit	D012852
Sinus caroticus	D002346
Sinus paranasales	D010256
Sinus petrosus, blodprov	D017591
Sinus sphenoidalis	D013101
Sinushistiocytos	D015618
Sinustrombos	D012851
Sir2-liknande proteiner	D037761
Sirendjur	D020453
SIRV-1	D023642
SI-systemet	D007394
SITS	D012856
SIV	D015302
SIV-vacciner	D018449
Sjudagarsfeber	D003715
Sjukdomar hos prematura barn	D007235
Sjukdomsanlag	D004198
Sjukdomsbelastning	D017281
Sjukdomshistoria	D008487
Sjukdomskostnader	D017281
Sjukdomsmodifierande antireumatiska medel	D018501
Sjukdomsprogress	D018450
Sjukdomsresistens	D007113
Sjukdomsskattning	D012720
Sjukgymnastiska kliniker	D010814
Sjukhem	D009735
Sjukhus, distrikt	D006767
Sjukhus, djur	D006762
Sjukhus, förlossning	D006771
Sjukhus, glesbygd	D006780
Sjukhus, konvalescent	D006765
Sjukhus, långvård	D006763
Sjukhus, län	D006766
Sjukhus, militära	D006772
Sjukhus, privata	D016304
Sjukhus, specialinriktade	D006782
Sjukhus, tätort	D006786
Sjukhus, undervisning	D006784
Sjukhus, universitet	D006785
Sjukhus, veteran	D006787
Sjukhusanställda läkare	D020445
Sjukhusarkitektur	D006749
Sjukhusbaserad hemsjukvård	D018575
Sjukhusblanketter	D005572
Sjukhusbunden vårdtid	D007902
Sjukhusbyggnader	D006761
Sjukhusbyggnader, underhåll	D008284
Sjukhusetik	D004991
Sjukhusförvaltning	D006739
Sjukhushygien	D017053
Sjukhusinfektion	D003428
Sjukhuskök	D005521
Sjukhuslager	D007445
Sjukhusmiljö	D006272
Sjukhusmortalitet	D017052
Sjukhusnedläggningar	D006271
Sjukhusorganisation	D006739
Sjukhuspräster	D002604
Sjukhussammanslagning	D006273
Sjukhustvätt	D007847
Sjukligt sömnbehov	D006970
Sjukpension	D018868
Sjukskrivning	D018582
Sjuksköterskearbete	D009729
Sjuksköterskearbete vid operation	D009871
Sjuksköterskehistoria	D006676
Sjuksköterskehögskolor	D012579
Sjuksköterskepraktik	D007397
Sjuktransporter	D014187
Sjukvårdsadministratörer	D006270
Sjukvårdsbyggnader	D006268
Sjukvårdsdistrikt	D002391
Sjukvårdsförsörjning	D003695
Sjukvårdsförsörjning, integrerad	D019033
Sjukvårdsinrättningar	D006268
Sjukvårdsinrättningar, arbetskraft och tjänster	D005159
Sjukvårdskostnader	D017048
Sjukvårdsmaterial	D004864
Sjukvårdspersonal	D006282
Sjukvårdsplanering	D006285
Sjukvårdspolitik	D006291
Sjukvårdsreform	D018166
Sjukvårdssektor	D019981
Sjukvårdsupplysning	D015277
Sjukvårdsöverkonsumtion	D006300
Självbedrägeri	D003702
Självbild	D012649
Självdigestion	D001329
Självförbränning	D018605
Självförsök	D032762
Självinsikt	D012649
Självkänsla	D012649
Självskadande beteende	D016728
Självskattning (Psykologi)	D012647
Självständighet	D020377
Självständigt boende	D000203
Självsvält	D000856
Sjöros	D012615
Sjösjuka	D009041
Skabbdjur	D040021
Skabbkvalster	D040042
Skadegradering	D014218
Skaderapportering	D007344
Skador före konception	D047489
Skador, förgiftningar och yrkessjukdomar	D007280
Skaft	D018483
Skakning	D012768
Skallbascancer	D019292
Skallcancer	D012888
Skallskador	D006259
Skalp	D012535
Skapula	D012540
Skattelättnader	D019464
Skattepolitik	D013660
Skavsår	D001768
Skelettcancer	D001859
Skelettdysplasier	D001848
Skelettfrakturer	D050723
Skelleftesjukan	D017772
Skildring	D033262
Skinnbaggar	D006430
Skinnömsning	D018978
Skirröst adenokarcinom	D002293
Skiss (Publikationstyp)	D020489
Skivepitelcancer	D018307
Sklera	D012590
Skleros	D012598
Skleroserande kolangit	D015209
Skog	D014934
Skogsvetenskap	D016468
Skogsvård	D016468
Skolk	D000041
Skorbut	D012614
Skottsår	D014948
Skovvis förlöpande MS	D009103
Skrift	D006236
Skrivsvårigheter	D004410
Skrock	D013483
Skrotum	D012611
Skräck	D010200
Skröpliga äldre	D016330
Skuggröna	D031236
Skulderimpingement syndrom	D019534
Skulderluxation	D012783
Skunkar	D012889
Skvalensyntetas	D013186
Skydd och säkerhet	D012449
Skyltar	D008123
Skyttegravsfot	D007102
Skälvning	D014202
Skänkelblock	D002037
Skärvfrön	D031227
Sköldbrosk	D013957
Sköldkörtelcancer	D013964
Sköldkörtelstimulant, långverkande	D008135
Sköljning	D007507
Sköljvätska, bronkoalveolär	D001992
SLE	D008180
Slemhinnepemfigoid, benign	D010390
SLOS	D019082
Slum	D011204
Sluten vård	D006760
Slutenvårdspatienter	D007297
Slutna ekologiska system	D018504
Slutna frakturer	D005596
Slutna huvudskador	D016489
Slutpunktsbestämning	D023381
Slys syndrom	D016538
Släkttavla	D010375
Smegma embryonum	D014708
Smittsam laryngotrakeitvirus	D025921
Smittspridande insekter	D007303
Smittspridning	D018562
Smittspridning, horisontell	D018446
Smittspridning, patient-personal	D017758
Smittspridning, personal-patient	D017757
Smittspridning, vertikal	D018445
Smittspridningskontroll	D017053
Smultron	D031985
Små artärer	D001160
Småcelligt karcinom	D018288
Småcelligt sarkom	D018228
Smärtlindrande medel	D000700
Smärtmätning	D010147
Smörgåskrasse	D031220
Snabbdiagnostika	D011933
Snabellilja	D031408
Sned rygg	D012600
Sneda barnskallar	D003398
Sniffning	D019966
SNP	D020641
Snyltrot	D031672
Snyltrotsväxter	D031670
Snårvinda	D031253
Snödroppar	D027801
Snöskotrar	D015541
Sobril	D010076
Social demoralisering	D000850
Social diskriminering	D011287
Social förstärkning	D012056
Social hemhjälp	D006704
Social jämlikhet	D012935
Social klass	D012923
Social likgiltighet	D012918
Social ojämlikhet	D012959
Social perception	D012938
Sociala förhållanden	D012959
Sociala klyftor	D012959
Sociala relationer	D007398
Socialfobi	D010698
Socialt avståndstagande	D012929
Socialtjänst	D012946
Socialvetenskap	D012942
Socialvård	D012946
Sockerrör	D031786
Sockersjuka	D003920
Soda	D002424
Sodalösning	D012972
Sodaört	D031248
Sodoku	D011906
Solbad	D006370
Soldactone	D002191
Soldater	D008889
Solfläckar	D019445
Solros	D006368
Somadril	D002328
Somatisering	D013001
Somatoformt smärtsyndrom	D013001
Somatosensoriska elektriska retningspotentialer	D005073
Somatosensoriska svarspotentialer	D005073
Somatotropin	D013006
Somatotropinfrisättande hormon	D013007
Somatotyper	D013008
Somatropin	D019382
Somnambulism	D013009
Sondnäring	D004750
Sonografi	D014463
Sorption-detoxifiering	D016060
Sovmöss	D046330
Spannmål	D002523
Spansk krage	D010263
Spansk peppar	D002212
Spanskamerikaner	D006630
Spasm	D013035
Spasmolytika	D010276
Spastisk bulbär pares	D020828
Spastisk parapares	D020336
Spastisk tetraplegi	D011782
Spatialt beteende	D013037
Specialbyggnadskonstruktion	D005160
Specialistsjuksköterskor	D009722
Specialisttjänstgöring	D007396
Specialistutbildning	D004500
SPECT	D015899
Spegelvändning av inre organens läge	D012857
Spektramox	D019980
Spektrofotometri, atomabsorption	D013054
Spektrofotometri, infraröd	D013055
Spektrofotometri, ultraviolett	D013056
Spektrometri, fluorescens	D013050
Spektrometri, gamma	D013051
Spel och dobbel	D005715
Spelberoende	D005715
Spenar	D008321
Spenat	D018724
Spermatogenes	D013091
Spermatogeneshämmande medel	D013092
Spermicider	D013089
Spermider	D013087
Spermiemotilitet	D013081
Spermie-ovuminteraktioner	D013084
Spetsälska, medel mot	D007917
Sphaeriales	D013098
Spiegelian hernia	D006555
Spielmeyer-Vogts sjukdom	D009472
Spikklubba	D013286
Spina bifida	D016135
Spinal artrit	D025241
Spinal cancer	D013125
Spinal dysrafism	D016136
Spinal manipulation	D020393
Spinal muskelatrofi	D009134
Spinal tuberkulos	D014399
Spinala ganglier	D005727
Spinala injektioner	D007278
Spinala tumörer	D013125
Spinalanestesi	D000775
Spinalkanal	D013115
Spinalstenos	D013130
Spinalvätska	D002555
Spindel, svarta änkan	D001740
Spindelapor	D053819
Spindelbett	D001098
Spindelkvalster	D040102
Spindelvektorer	D001096
Spinhaler	D036501
Spiralorgan	D009925
Spiritualitet	D029181
Spiroketer	D013144
Spiskummin	D028527
Splenomegali	D013163
Spondylarthritis ancylopoietica	D013167
Spondylit	D013166
Spondylolistes	D013168
Spondylosis deformans	D013128
Spontana frakturer	D005598
Spontanregression, cancer	D009365
Spontanregression, tumör	D009365
Sporanox	D017964
Sporocyster	D033661
Sportskador	D001265
Spott	D012463
Spottkörtel, underkäke	D013363
Spottkörtelcancer	D012468
Spottstenar	D020792
Språkfärdigheter	D007803
Språkterapi	D007808
Spädbarn med födelsevikt under 1500 g	D019102
Spädbarn, tillväxthämmade	D007236
Spädbarnshälsa	D007229
Spädbarnskost	D007225
Spänst	D004548
SQ-14225	D002216
SQ-26776	D001398
Squash	D028464
SR	D001799
SSCP	D018807
SSPE	D013344
SSRI	D017367
St. Louis-encefalit	D004674
St. Louis-hjärninflammation	D004674
Stadieindelning, cancer	D009367
Stadieindelning, tumör	D009367
Stadsbefolkning	D014505
Stadsutveckling	D014506
Stamceller, mesenkymala	D044982
Standardisering	D012015
Stanolon	D013196
Stansbiopsi	D001707
Stanskortssystem	D011676
Stapedektomi	D013201
Stasikterus	D041781
Staspapill	D010211
Stasslangar	D014111
Statiner	D000924
Statistisk faktoranalys	D005163
Statistiska metoder	D013223
Statistiska modeller	D015233
Statliga myndigheter	D006077
Statliga sjukhus	D006783
Stavar och tappar	D020419
Stavelseparsmetod	D010153
STD	D012749
Steatos	D005234
Steele-Richardson-Olszewskis syndrom	D013494
Stein-Leventhals syndrom	D011085
Stel stortå	D006214
Stel stortå	D020859
Stelhetstillstånd	D002375
STEM	D017348
Stenar i ductus choledochus	D003136
Stenar i ductus choledochus	D042882
Stenar i gemensamma gallgången	D042882
Stenbräckeväxter	D031995
Stenfrö	D029684
Stengel-Batten-Spielmayer-Vogts sjukdom	D009472
Stenos	D003251
Stereotaktisk strålkirurgi	D016634
Stereotypt tänkande	D013240
Sterilisering, ofrivillig	D013244
Sterilisering, äggledare	D013246
Sterilitet	D007246
Sterilitet hos kvinnor	D007247
Sterilitet hos män	D007248
Sternum	D013249
Steroider, anabola	D000692
Stesolid	D003975
Stickmyggor	D009033
Stickprovtagning	D012494
Stigmatisering	D013240
Stimulantia, historiska	D018758
Stjälkade hudtransplantat	D013524
Stjärnhyacint	D031404
Stokes-Adams attacker	D000219
Stomatit	D013280
Stomatit, gangrenös	D009625
Stomatogingivitis herpetica	D013283
Stor mun	D008265
Stor tunga	D008260
Stora lymfgången	D013897
Storcelligt karcinom	D018287
Storhjärna	D013687
Storkök	D005522
Storleksperception	D012858
Stormhatt	D031841
Strabism	D013285
Strandkvanne	D029970
Strandkål	D031218
Stranmålla	D027466
Streeters syndrom	D000652
Streptococcus viridans	D034363
Streptozotocin	D013311
Stressfrakturer	D015775
Stressinkontinens	D014550
Stressproteiner 70	D018840
Stressproteiner 90	D018841
Stria vascularis	D013316
Striatonigral atrofi	D020955
Stridor	D012135
Stroke	D020521
Stromelysin 1	D019278
Stromelysin 1	D020783
Stromelysin 1	D020784
Strukturella modeller	D008961
Strupcancer	D007822
Struphuvudcancer	D007822
Struphuvudinflammation	D007827
Strutsar	D020310
Strålknivkirurgi	D016634
Strålkropp	D002924
Strålningsframkallad cancer	D009381
Strålningsframkallad leukemi	D007953
Strålningsframkallade missbildningar	D000016
Strålningsframkallade tumörer	D009381
Strålskador	D011832
Strålskador, experimentella	D011833
Strålskyddsfysik	D006283
Strålterapi	D011878
Strålterapi, understödjande	D018714
Studielån	D014146
Studieplan	D003479
Studiestöd	D014146
Styrax benzoides	D032362
Styraxbuske	D032362
Styrd vävnadsregeneration	D048091
Styrd vävnadsregeneration, parodontal	D016557
Stånds	D012674
Städning	D006796
Stäkra	D009813
Stämbandspares	D014826
Stämning	D009013
Stämningsstabiliserande medel	D018692
Stödgrupper	D012657
Stödsstrumpor	D053828
Störande beteende	D019958
Störfaktorer (Epidemiologi)	D015986
Stötvågsbehandling	D008096
Stötvågsbehandling, laser	D017602
Subdural läckage av cerebrospinalvätska	D013353
Subduralt hematom	D006408
Subduralt hematom, intrakraniellt	D046648
Subduralt hematom, kroniskt	D020200
Subduralt hematom, spinalt	D046649
Subkutana injektioner	D007279
Sublimationstorkning	D005612
Substans 48-80	D003189
Subvalvulär aortastenos	D001020
Succinat-koenzym A-ligaser	D013389
Sudecks atrofi	D012019
Sudor anglicus	D018614
Suduralt hematom, akut	D020199
Sufenta	D017409
Sugdränage	D013396
Sugor	D031328
Suicid	D013405
Sulfatider	D013433
Sumak	D029045
Sumpgas	D008697
Sumpmark	D053833
Superego	D013475
Supernumerär tand	D014096
Superoxiddismutas	D013482
Suppositorier	D013488
Suppuration	D013492
Supratentoriell cancer	D015173
Supravalvulär aortastenos	D021921
Supraventrikulär takykardi	D013617
Sura aminosyror	D024342
Sura uppstötningar	D006356
Surmontil	D014299
Surrogatmått	D015415
Suturer	D013537
Suturmaskiner	D013528
Suxameton	D013390
SV-40	D013539
Svalgcancer	D010610
Svampgenom	D016681
Svampkännedom	D009172
Svampsjukdomar	D009181
Svarspotentialer	D005071
Svarspotentialer, auditiva	D005072
Svarspotentialer, auditiva, hjärnstam	D016057
Svarspotentialer, motoriska	D019054
Svarspotentialer, somatosensoriska	D005073
Svarspotentialer, visuella	D005074
Svarta flugor	D012843
Svarta vinbär	D031965
Svartkummin	D031881
Svartkämpe	D010943
Svartpeppar	D029222
Svartrot	D031186
Sveda	D002056
Swifts sjukdom	D000170
Swimmingpooler	D013551
Svin	D013552
Svindleri	D005607
Svulster	D009369
Swyer-James syndrom	D019568
Svår akut respiratorisk sjukdom	D045169
Svår kombinerad immundefekt	D016511
Sydvästra USA	D015206
Syfilis, kutan	D013591
Syfte	D033182
Symbolspråk	D003143
Symfysiolys	D046548
Sympatektomi, kemisk	D013563
Sympatikusblockerande medel	D013565
Sympatiska ganglier	D005728
Symphoricarpus	D031240
Symtom och allmän patologi	D013568
Synalar	D005446
Synaptiska vesiklar	D013572
Syndrom X	D017566
Synillusioner	D009903
Synkope	D013575
Synmätning	D009907
Synnervischemi	D018917
Synnervscancer	D019574
Synovialmembran	D013583
Synovialt sarkom	D013584
Synovialvätska	D013582
Synovit	D013585
Synperception	D014796
Synpigment	D012168
Synpurpur	D012243
Synscreening	D015351
Synskador	D014786
Syntetiska hormoner	D006731
Syntetiska livsmedel	D005526
Synuklein	D051843
Syra-bas-balans	D000136
Syrahämmande läkemedel	D000897
Syraneutraliserande medel	D000863
Syrenväxter	D029592
Syreupptagning	D010101
Sysselsättning	D006802
Systemisk mastocytos	D034721
Systemisk skleros	D012595
Systemiska endokrina sjukdomar	D004700
Szondis test	D011386
Såpbär	D032127
Såpnejlikor	D029750
Såpor	D012915
Sårbara grupper	D035862
Sårinfektion, kirurgisk	D013530
Sårläkor	D030005
Sårrensning	D003646
Såröppning, kirurgisk	D013529
Säd	D012639
Sädesavgång	D004542
Sädesceller	D013094
Sädesförande kanaler	D012671
Säkerhetskrav	D012637
Säkra dagar-metod	D012252
Sängkapacitet	D006742
Sängkapacitet, 100 till 299	D006744
Sängkapacitet, 300 till 499	D006745
Sängkapacitet, 500 och över	D006746
Sängkapacitet, under 100	D006743
Sängvätning	D053206
Sänkningsreaktion	D001799
Säsonger	D012621
Säsongsarbetare	D014171
Säsongsbundna affektiva störningar	D016574
Söderhavsöarna	D044349
Sömndeprivation	D012892
Sömnighet	D012894
Sömnlöshet	D007319
Sömnmedel	D006993
Sömnmyokloni	D020189
Sömnproblem	D012893
Sömnrelaterade andningsproblem	D012891
Sömnsjuka, afrikansk	D014353
Sömnstörningar vid skiftarbete	D020178
Sömnsvårigheter	D012893
Sötpotatis	D027723
Sötsaker	D002182
T3	D014284
Tabes dorsalis	D013606
Tagamet	D002927
Tagmin	D050857
Taktilstimulering	D019124
Takykardi, sinus	D013616
Takykardi, ventrikulär	D017180
Tal- och språkterapi	D013070
Talang	D001076
Talavläsning	D008085
Talcum	D013627
Tallväxter	D028201
Talperception	D013067
Talprotes	D007831
Talterapi	D013070
Talus	D013628
Talventil	D007831
Tamariner	D012452
Tamariskväxter	D032363
Tambocor	D005424
Tamus communis	D027744
Tanacetum vulgare	D031203
Tanapoxvirus	D018158
Tanatofor dysplasi	D013796
Tandalveol	D020390
Tandborstar	D003742
Tandbryggor	D003830
Tandemaljpermeabilitet	D003745
Tandfollikel	D003795
Tandimplantat	D015921
Tandkaries	D003731
Tandkariesanlag	D003733
Tandkött, blödande	D005884
Tandköttscancer	D005887
Tandköttshypertrofi	D005886
Tandlagning, permanent	D003793
Tandlagning, temporär	D003794
Tandlagningsmaterial	D003764
Tandlik utskott	D009809
Tandläkarföreningar	D012953
Tandläkarskräck	D016854
Tandlös mun	D009066
Tandocklusion	D003766
Tandprotes, komplett	D003824
Tandprotes, komplett, undre	D003826
Tandprotes, komplett, övre	D003827
Tandprotesmakare	D003835
Tandreimplantation	D014090
Tandrotskaries	D017213
Tandröta	D003731
Tandslitage	D014072
Tandsprickning	D014078
Tandsprickning, ektopiskt	D014079
Tandtråd	D003742
Tandutveckling	D009805
Tandvård för barn	D019140
Tandvård för handikappade	D003730
Tandvård för äldre	D016321
Tandvårdhälsoinformation	D006267
Tandvårdsdiscipliner	D013039
Tannin	D013632
Tapetoretinala degenerationer	D012174
Tapioka	D002365
Tappar i ögat	D017949
Tappning	D004322
Targocid	D017334
Tarmcancer	D007414
Tarminflammation	D004751
Tarmobstruktion	D007415
Tarmutsöndring	D007419
Taro	D031060
Tarsalben	D013639
TAT	D013803
Tavegyl	D002974
Taxol	D017239
TBC	D014376
TBE	D004675
Tc 99m-perteknetat	D013670
Tc- MIBI	D017256
Tc-99m HMPAO	D019690
Tc-99m MDP	D013669
Tc-DTPA	D016284
T-celler	D013601
T-cellsleukemi, HTLV-II-associerad	D015446
Tecken och symtom, digestion	D012817
Tecken och symtom, matspjälkning	D012817
Tectum mesencephali	D003336
Tedelparin	D017985
TEE	D017548
Tegretol	D002220
Teikomycin	D017334
Teknetium Tc 99m-perteknetat	D013670
Teknik	D013672
Teldanex	D016593
Telefonsvarare	D039604
Teleteknik	D013685
TEM	D046529
Temesta	D008140
Temgesic	D002047
Templater, genetiska	D013698
Temporalben	D013701
Temporalisarterit	D013700
Temporallob	D013702
Temporalmuskel	D013703
Temporomandibular leddisk	D019224
Temporomandibularled	D013704
Temporomandibularledssjukdomar	D013705
Temporomandibularledssyndrom	D013706
Tendinit	D013707
Tendinit	D052256
Tenormin	D001262
TENS	D004561
Teoretiska modeller	D008962
Terapeutik	D013812
Terapeutisk embolisering	D004621
Terapeutisk forskning	D036302
Terapeutisk kloning	D019976
Terapier	D013812
Terapiföljsamhet	D010349
Terapiresistent smärta	D010148
Teratogener	D013723
Terminal ileit	D003424
Termoreceptorer	D013823
Tesaurus	D018875
Tester	D008722
Testikelcancer	D013736
Testikulär feminisering	D013734
Tetanus	D013742
Tetanusantitoxin	D013743
Tetanustoxin	D013744
Tetanustoxoid	D013745
Tetrahydrokannabinol	D013759
Tetraklormetan	D002251
Tetraklormetanförgiftning	D002252
Tetrasener	D009279
TGF-alfa	D016211
TGF-beta	D016212
THC	D013759
Thimet 10-G	D010702
Thomsens sjukdom	D009224
TIA	D002546
Tiaziddiuretika	D049993
Tibia	D013977
Tibiafrakturer	D013978
Tibialartärer	D016909
Tibialnerv	D013979
Tibialnervsjukdomar	D020429
Tic douloureux	D014277
Tickor	D020072
Tickrubbningar, posttraumatiska	D013981
Ticlid	D013988
Tidalvolym	D013990
Tidig hemgång	D004434
Tidsfördelning	D017748
Tidsperception	D013998
Tikacillin	D010404
Tillfrisknande	D003289
Tillfrisknande	D020127
Tillit	D035502
Tilltagande hastighet	D000054
Tillväxtzon	D006132
Tilläggsbehandling med läkemedel	D017024
Tilläggsbehandling med strålterapi	D018714
Tillämpad kroppskinetik	D018953
Tillämpad psykologi	D011585
Tillämpad rörelselära	D018953
Timotejer	D031784
Tinea capitis	D014006
Tinea favosa	D014007
Tinea pedis	D014008
Tinningartärer	D013699
Tinnitus	D014012
Tiparol	D014147
TIPS	D019168
TIPSS	D011170
TIPSS	D019168
Titthålsteknik	D010535
Tittrör	D019723
Tjernobylolycka	D047852
Tjock- och ändtarmscancer	D015179
Tjocktarmscancer	D003110
Tjocktarmspolypos, adenomatös	D011125
Tjänsteexport	D018581
TMD	D013706
TMJ-sjukdomar	D013705
TMJ-syndrom	D013706
TNF	D014409
TNF	D048069
TNF-alfa	D014409
TNT	D014303
Toaletthjälpmedel	D014038
Tobaksröksförorening	D014028
Tofranil	D007099
Tokoferol	D014810
Tokografi	D018590
Tolerans vid transplantation	D023001
Tolkservice	D014175
Tolosa-Hunts syndrom	D009886
Tolvfingertarmscancer	D004379
Tolvon	D008803
Tomater	D018551
Tomografi	D014054
Tomografi, röntgen	D014056
Tomrum	D014618
